,,ViewMean,pop_unpop,cumulative_average
0.95,The Key of Awesome,0.0,1,0.0
0.95,KBS Drama,0.15901004285714282,1,0.07950502142857141
0.95,MoosePlays,0.25487688355530025,1,0.1379623088041477
0.95,A&E,0.3349637714285714,1,0.18721267446025364
0.95,kipkay,0.39733300850372566,1,0.22923674126894805
0.95,Doctissimo,0.3989603601892182,1,0.2575240110889931
0.95,MrCreepyPasta,0.4215383719479792,1,0.2809546340688482
0.95,Reckless Comedy,0.43989502401058067,1,0.3008221828115648
0.95,DanceOn,0.45562116553050225,1,0.3180220697803356
0.95,ScarySnowmanTV,0.5311173404622335,1,0.33933159684852543
0.95,RealityGamingTV,0.0,0,0.0
0.95,My Damn Channel,0.0,0,0.0
0.95,FUTURE INC.,0.1433692,0,0.047789733333333334
0.95,Televisa Puebla,0.14368771428571428,0,0.07176422857142857
0.95,Earth Touch,0.392967943978184,0,0.13600497165277967
0.95,Sunrise,0.4030405885681938,0,0.1805109078053487
0.95,Zebra Nursery Rhymes - Kids Song and Cartoons,0.4142196596205982,0,0.21389787235038435
0.95,Nine-Tales Recaps ,0.461854721730819,0,0.24489247852293866
0.95,Peppers TV,0.48506909476523896,0,0.27157876921652757
0.95,AnimationEpic,1.3201551770008466,0,0.3764364099949595
