,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,Gaston Marotta,260000,56300748,290,UUfA8Uw1BTODJDxSrJcIwNCQ,2017-12-25 17:34:45+00:00
1,Avi vlogz,399000,56421543,589,UUI9mLksLjGiqX8HJ2ojB0uA,2019-02-08 04:52:36+00:00
2,wocomoTRAVEL,188000,95050186,880,UUymrhn6xwPcP_9vteK-zBeQ,2014-06-10 12:28:54+00:00
3,Jacek Zarzycki,250000,110603744,607,UUa7bR7ifIPG_Py-SlFo5wOw,2008-03-16 17:26:25+00:00
4,Aika Agustin,220000,12505987,210,UUqSwaBPn_p0oQhRFU-0SxmA,2014-03-09 06:55:57+00:00
5,Theme Park Worldwide,369000,198162105,3934,UUwqDAwhG1JCxTNr6HnB7gnQ,2011-12-08 17:07:21+00:00
6,WanderDa,498000,122088405,187,UUKH0DuBnfp2Ox7QF8ICsZHQ,2015-04-09 14:31:39+00:00
7,Travel with AK,298000,41991974,183,UUBElRVEL-H0eDYdL2mb1Sng,2019-12-17 10:29:22.102745+00:00
8,Google Local Guides,445000,54202465,242,UUEeHmfGLcSga8gRlHCMt6zg,2014-10-01 20:07:11+00:00
9,Sin Postal,434000,91371924,331,UUibAe38vV5bkUnReP4riHTw,2017-05-31 16:54:16+00:00
