,channelName,subscribers,views,totalVideos,playlistId,publishedAt,popUnpop
0,StarPlus,36600000.0,34129313017.0,65515.0,UU-LPIU24bQXVljUXivKEeRQ,2006-05-19 21:46:13+00:00,1
1,WorkpointOfficial,39900000.0,37042283524.0,76498.0,UU3ZkCd7XtUREnjjt3cyY_gg,2012-11-05 04:27:20+00:00,1
2,TheEllenShow,38200000.0,22950615904.0,16158.0,UUp0hYYBW6IMayGgR-WeoCvQ,2006-11-21 04:53:43+00:00,1
3,Rihanna,42500000.0,23372724502.0,84.0,UUcgqSM4YEo5vVQpqwN-MaNw,2005-11-06 16:14:28+00:00,1
4,TheDonato,37700000.0,6913140518.0,3228.0,UUaHEdZtk6k7SVP-umnzifmQ,2015-02-17 02:53:14+00:00,1
5,Shemaroo,50300000.0,23592235805.0,11436.0,UUF1JIbMUs6uqoZEY1Haw0GQ,2007-09-01 11:44:51+00:00,1
6,Marshmello,56700000.0,14865761573.0,454.0,UUEdvpU2pFRCVqU6yIPyTpMQ,2015-04-06 21:21:50+00:00,1
7,Ch3Thailand,34400000.0,30361437738.0,98602.0,UU48h7Dst_hX82HxOf3xJw_w,2014-05-29 07:24:43+00:00,1
8,MrBeast,217000000.0,38289272945.0,771.0,UUX6OQ3DkcsbYNE6H8uQQuVA,2012-02-20 00:43:50+00:00,1
9,Badabun,47100000.0,19581488320.0,19964.0,UUYWOjHweP2V-8kGKmmAmQJQ,2014-10-14 00:15:54+00:00,1
10,Zhong,32400000.0,16082209907.0,1655.0,UUyagEfIN1okQ-s996XAqCFQ,2015-01-19 18:17:39+00:00,1
11,Chotanawab,22500000.0,10380840693.0,1684.0,UUWABpVNM7ysT4KGXiUpShRw,2021-01-28 14:45:19.459312+00:00,1
12,Azhan5star,27200000.0,11298133089.0,751.0,UUY-at5vWhDoMJ8y0kIPFwDA,2021-02-02 18:12:40.536210+00:00,1
13,DrossRotzank,23200000.0,6173345030.0,1637.0,UUNYW2vfGrUE6R5mIJYzkRyQ,2006-03-09 20:06:26+00:00,1
14,ToyPuddingTV,27100000.0,15991946970.0,2423.0,UUKqx9r4mrFglauNBJc1L_eg,2014-05-13 14:31:31+00:00,1
15,Yoeslan,25600000.0,22578096196.0,777.0,UUVtD5iA4rUuOK5cQrB_o4ow,2020-09-26 14:59:01.698823+00:00,1
16,Infinite,22100000.0,5425325001.0,1639.0,UU_hSjGOO67A6gIDUcyuv_8A,2014-08-21 23:02:11+00:00,1
17,KSI,24100000.0,6015064768.0,1252.0,UUVtFOytbRpEvzLjvqGG5gxQ,2009-07-25 01:11:42+00:00,1
18,AH,30800000.0,4653327221.0,2982.0,UUaKLg1ELiX0zTJ6Je3c5esA,2014-01-26 16:19:24+00:00,1
19,Netflix,27400000.0,7771547483.0,6860.0,UUWOA1ZGywLbqmigxE4Qlvuw,2012-07-17 20:45:36+00:00,1
20,nigahiga,21000000.0,4389026954.0,403.0,UUSAUGyc_xA8uYzaIVG6MESQ,2006-07-21 01:40:43+00:00,1
21,SlivkiShow,20600000.0,4842571675.0,475.0,UUU_yU4xGT9hrVFo6euH8LLw,2012-12-11 08:59:55+00:00,1
22,Sidemen,20500000.0,5729192662.0,332.0,UUDogdKl7t7NHzQ95aEwkdMw,2015-06-14 09:20:50+00:00,1
23,CookieSwirlC,20700000.0,24182861243.0,3859.0,UUelMeixAOTs2OQAAi9wU8-g,2013-11-03 19:07:44+00:00,1
24,SCTV,20100000.0,9405228400.0,52490.0,UU_vsErcsq56hOscPHkG-aVw,2011-12-02 07:10:07+00:00,1
